officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
CICADA-131,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dental Loupes with Headlight LED Light CV-288,CV-288,CV-288,CV-288,1,CICADA / DENTALLOUPES,https://www.cicadadental.com/Uploads/202112/1228165001.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/DENTALLOUPES_131.html
CICADA-164,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dental Plugger CV-DP 01,CV-DP 01,CV-DP 01,CV-DP 01,1,CICADA / DentalPlugger,https://www.cicadadental.com/Uploads/202508/1755933808.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/DentalPlugger_164.html
CICADA-212,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dental triple spray high speed handpiece CV/GX SM4-4,CV/GX SM4-4,CV/GX SM4-4,CV/GX SM4-4,1,CICADA / DentalHighSpeedHandpiece,https://www.cicadadental.com/Uploads/202508/sm4-401.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/DentalHighSpeedHandpiece_212.html
CICADA-213,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Diamond Series Dental High-Speed Handpiece SM-4D,SM-4D,SM-4D,SM-4D,1,CICADA / DentalHighSpeedHandpiece,https://www.cicadadental.com/Uploads/202508/1754042441.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/DentalHighSpeedHandpiece_213.html
CICADA-210,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dual Water Supply System EC005,EC005,EC005,EC005,1,CICADA / ElectricMotor,https://www.cicadadental.com/Uploads/202508/1754041649.jpg,4,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ElectricMotor_210.html
CICADA-110,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Electric Micro Motor Color Screen NL400-4,NL400-4,NL400-4,NL400-4,1,CICADA / ElectricMotor,https://www.cicadadental.com/Uploads/202112/01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ElectricMotor_110.html
CICADA-209,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Electric Micro Motor Touch Screen NL 400-2,NL 400-2,NL 400-2,NL 400-2,1,CICADA / ElectricMotor,https://www.cicadadental.com/Uploads/202508/-2_01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ElectricMotor_209.html
CICADA-184,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Electric Wireless Prophy Handpiece PMTC CP-PM-02,CP-PM-02,CP-PM-02,CP-PM-02,1,CICADA / PMTCSYSTEM,https://www.cicadadental.com/Uploads/202306/pmtc.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/PMTCSYSTEM_184.html
CICADA-190,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Electric Wireless Torque Driver DT-Smart,DT-Smart,DT-Smart,DT-Smart,1,CICADA / ElectricImplantTorqueWrench,https://www.cicadadental.com/Uploads/202508/1754124390.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ElectricImplantTorqueWrench_190.html
CICADA-129,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Endo Activator CV-EA,CV-EA,CV-EA,CV-EA,1,CICADA / EndoActivator,https://www.cicadadental.com/Uploads/202112/1228164301.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoActivator_129.html
CICADA-165,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Endo File DT-EN G4,DT-EN G4,DT-EN G4,DT-EN G4,1,CICADA / EndoFiles,https://www.cicadadental.com/Uploads/202204/endo_file_dt-en_g4_(1).jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoFiles_165.html
