localId,brand,manufacturer,name,manufacturerRefs,referenceCount,status,sourcePageUrl,summary
246,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2133,SH 2133 | 104 243 524 060,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/246.html,
247,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RD-2 Series Rubber Bond Diamond Polisher RD 2315,RD 2315 | 104 371 504 120,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/247.html,
248,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-2 Series Silicone Bond Polisher SG 2322,SG 2322 | 104 041 534 120,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/248.html,
249,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2122,CG 2122 | 104 171 533 025,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/249.html,
250,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-3 Series Silicone Bond Polisher SG 3124,SG 3124 | 204 243 514 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/250.html,
251,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2132,SH 2132 | 104 243 534 060,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/251.html,
252,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RD-1/3 series rubber bond diamond polisher RD 3204,RD 3204 | 204 030 514 060,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/252.html,
253,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2112,CG 2112 | 104 161 533 028,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/253.html,
254,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2124,SH 2124 | 104 243 514 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/254.html,
255,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RF-3 Series Rubber Bond Polisher RF 3205,RF 3205 | 204 030 504 060,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/255.html,
