"productId","productName","brand","manufacturer","manufacturerRefs","sourceUrl","priority","currentMediaStatus","rightsStatus","status","acceptanceRule"
"public-960c14f4970f6172fc2b26a4","Карандаш химический, L=177 мм, d=7,15 мм","","","","https://a4d.kz/content/karandash-himicheskiy-l177-mm-d715-mm","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-0a71790be598995e4f9cd3cf","Карборундовые диски","","","","https://a4d.kz/content/karborundovye-diski","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-f2e72e2e2ca4fc6850a7e062","Кариес детектор","","","","https://a4d.kz/content/karies-detektor","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-823090226555dc573cd824e7","Кассета для стерилизации инструментов метал-6 инстр","","","","https://a4d.kz/content/kasseta-dlya-sterilizacii-instrumentov-metal-6-instr","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-5c26ba2bccdeee6aaa1b2126","Кассета для стерилизации на 8 инструментов пластик","","","","https://a4d.kz/content/kasseta-dlya-sterilizacii-na-8-instrumentov-plastik","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-afb5460c3a0d8da8e27388bb","Кассеты для инструментов -3 инструмента","","","","https://a4d.kz/content/kassety-dlya-instrumentov-3-instrumenta","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-9cad063f41e398714eef6304","Керамические брекеты 0,022 (Класс А, В, С)","","","BR-KER-A","https://medstom.kz/catalog","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-b5a42e9873041f8ac91bf369","Кетгут -3/0, 4/0, 5/0 стерильный рассасывающийся шовный материал с иглой","","","","https://a4d.kz/content/ketgut-30-40-50-sterilnyy-rassasyvayushchiysya-shovnyy-material-s-igloy","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-e46fac69de6f3bdbf5e38679","Кисточки аппликационные с держателем","","","","https://a4d.kz/content/kistochki-applikacionnye-s-derzhatelem-0","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-e267fdfe699338e3c7b54929","Клампы Бринкера ретракторы десневого края","","","","https://a4d.kz/content/klampy-brinkera-retraktory-desnevogo-kraya","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
