officialProductId,brand,manufacturer,name,categoryPath,manufacturerRef,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
3624817,ZT Dental,ZT Dental,CARBON FIBER RUBBER DAM FRAME,Rubber dam,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57110660.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57110662.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3624817.html
3624857,ZT Dental,ZT Dental,DENTAL DAM STABILIZING CORD,Rubber dam,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57111428.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57111430.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3624857.html
3624939,ZT Dental,ZT Dental,DIAMOND IMPREGNATED POLISHING SYSTEM P2 1.0 POLISHERS FOR COMPOSITES,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57112247.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57112256.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3624939.html
3624979,ZT Dental,ZT Dental,POLISHING SYSTEM P2 2.0 DIAMONDIMPREGNATED,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57112996.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57112995.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3624979.html
3625144,ZT Dental,ZT Dental,DIAMOND IMPREGNATED POLISHING SYSTEM P3 1.0 POLISHERS FOR CERAMICS,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57114658.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57114659.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3625144.html
3630379,ZT Dental,ZT Dental,TRANSLUCENT POLISHING DISCS P12 3.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57145910.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57145911.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630379.html
3630412,ZT Dental,ZT Dental,TRANSLUCENT POLISHING DISCS P12 4.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57146110.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57146112.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630412.html
3630428,ZT Dental,ZT Dental,DENTAL STEM POLISHING DISCS P12 1.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57146229.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57146228.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630428.html
3630497,ZT Dental,ZT Dental,DOUBLE SIDED STEM POLISHING DISCS P12 2.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57146728.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57146727.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630497.html
3630521,ZT Dental,ZT Dental,RESIN POLISHING STRIPS P11 1.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57146970.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57146971.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630521.html
3630626,ZT Dental,ZT Dental,FINISHING AND POUSHING STRIPS P11 2.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57147560.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57147559.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630626.html
3630658,ZT Dental,ZT Dental,RESIN POLISHING STRIP HOLDER 2.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57147766.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57147765.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630658.html
3630763,ZT Dental,ZT Dental,PROPHYLAXIS PASTE P22 1.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57148787.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57148786.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630763.html
3630789,ZT Dental,ZT Dental,PROPHYLAXIS PASTE P22 2.0,Finishing and polishing,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57148856.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57148855.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3630789.html
3631181,ZT Dental,ZT Dental,CHEEK RETRACTORS,Other dental materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57150706.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57150705.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3631181.html
3639074,ZT Dental,ZT Dental,FORCEPS FOR PLACING RINGS,Other dental materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57213466.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57213465.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3639074.html
