localId,brand,name,manufacturerRef,category,status,sourcePageUrl,sourceImageUrl,summary
95,Interdent,Expasol - жидкость для паковочных масс,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-95,https://nordstom.kz/userfiles/item/95/fullimage1.png,"Универсальная жидкость EXPASOL используется для замешивания паковочных масс Interfine K+B Speed, Intervest K+B Speed, Modelcast S и Modelcast."
96,Interdent,Муфельные кольца,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-96,https://nordstom.kz/userfiles/item/96/fullimage1.jpg,"Стандартные размеры муфельных колец, продолжительный срок службы. Изготовлены из нержавеющего, огнестойкого металла, точно устанавливаются на резиновой подставке."
97,Interdent,Маркер Novy,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-97,https://nordstom.kz/userfiles/item/97/fullimage1.png,Специальный карандаш для муфельных колец. Обозначения хорошо сохраняются даже после нагревания в печи при самых высоких температурах.
100,Interdent,Сплав I-BOND 02 никель-хромовый для металлокерамики,,dental-materials,MODEL_PRESENT_REFERENCE_REVIEW_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-100,https://nordstom.kz/userfiles/item/100/fullimage1.png,I-Bond 02 - это биосовместимый литейный сплав на основе неблагородного никеля для металлокерамических реставраций зубов.
101,Interdent,Сплав I-BOND NF кобальто-хромовый для металлокерамики,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-101,https://nordstom.kz/userfiles/item/101/fullimage1.png,I-BOND NF - это бисосвместимый неблагородный сплав для литья на базе кобальта для техники металлокерамики.
102,Interdent,Сплав I-MG кобальто-хромовый для бюгелей,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-102,https://nordstom.kz/userfiles/item/102/fullimage1.png,бисосвместимый неблагородный сплав для бюгельного литья на базе кобальта.
103,Interdent,Керамические тигли,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-103,https://nordstom.kz/userfiles/item/103/fullimage1.png,"Для плавления хромкобальтовых сплавов без содержания драгоценных металлов, хромникелевых и палладиевых сплавов."
105,Interdent,Электролит MG жидкость для электрополировки,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-105,https://nordstom.kz/userfiles/item/105/fullimage1.png,Жидкость для электрополировки Co-Cr сплавов.
106,Interdent,Сеточка для укрепления пластмассы,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-106,https://nordstom.kz/userfiles/item/106/fullimage1.png,"Сетка-вкладыш толщиной 0,4 мм для повышения прочности пластмассы и оснований протезов."
107,Interdent,Проволока для кламмеров,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-107,https://nordstom.kz/userfiles/item/107/fullimage1.jpg,"Круглая, из нержавеющей стали, для применения в ортодонтии и протезировании. Стабильная форма, высокая прочность."
108,Interdent,Interacryl Hot - пластмасса,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-108,https://nordstom.kz/userfiles/item/108/fullimage1.png,Пластмасса горячей полимеризации с коротким временем полимеризации.
109,Interdent,Interacryl Cast - пластмасса,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-109,https://nordstom.kz/userfiles/item/109/fullimage1.png,"На основе метилметакрилата, не содержит кадмия. в форме полимера (порошок) и мономера (жидкость)."
110,Interdent,Силиконовая масса INTERLABOSIL,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/silikon/item-110,https://nordstom.kz/userfiles/item/110/fullimage1.png,Двухкомпонентная техническая силиконовая масса для изготовления блока для защиты зубов при полимеризации.
111,Interdent,Восковые пластины для индивидуальных ложек LC Intertray,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-111,https://nordstom.kz/userfiles/item/111/fullimage1.png,Базисные пластины для изготовления индивидуальных ложек. Полимеризация осуществляется под воздействием ультрафиолетовых лучей с длиной волны 350-400 нм и галогенных лучей с длиной волны 420-480 нм.
112,Interdent,"Диски сепарационные, шлифовальные",,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/rotary-tools/item-112,https://nordstom.kz/userfiles/item/112/fullimage1.jpg,
113,Interdent,Порошок зуботехнический корундовый Interalox,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-113,https://nordstom.kz/userfiles/item/113/fullimage1.png,"Чистый корунд 99,96% Al2O3, белоснежный. Для пескоструйной обработки бюгелей, коронок и мостов, содержащих и не содержащих благородные и неблагородные сплавы, а также керамики."
114,Interdent,Перлы стеклянные,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-114,https://nordstom.kz/userfiles/item/114/fullimage1.png,"50 микрон, 7 кг"
115,Interdent,Пемза,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-115,https://nordstom.kz/userfiles/item/115/fullimage1.png,"Пемза вулканического происхождения, очень чистая, идеальной зернистости для полировки пластмасс в зуботехнической лаборатории, 4 кг"
116,Interdent,Паста полировочная для сплавов,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-116,https://nordstom.kz/userfiles/item/116/fullimage1.png,Высококачественные полировочные пасты для сухой предварительной полировки различных дентальных сплавов.
117,Interdent,Универсальная полировочная паста,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-117,https://nordstom.kz/userfiles/item/117/fullimage1.png,"Полировочная паста высокого глянца для полировки драгоценных и недрагоценных сплавов, телескопических работ, конусов, атачменов, керамики, композитов."
118,Interdent,Паста полировочная Unilesk для пластмассы,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-118,https://nordstom.kz/userfiles/item/118/fullimage1.png,100 гр
119,Interdent,Фильцы для полирования,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,https://nordstom.kz/userfiles/item/119/fullimage1.png,
120,Interdent,Полировочные щетки для полировочного мотора,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,https://nordstom.kz/userfiles/item/120/fullimage1.jpg,Полировочные щетки изготавливаются из натуральных и экологически чистых материалов (с деревянной сердцевиной). Щетки быстро и хорошо полируют все дентальные сплавы и пластмассы.
121,Interdent,Полировочные щётки,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-121,https://nordstom.kz/userfiles/item/121/fullimage1.jpg,
122,Interdent,Наждачная лента,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-122,https://nordstom.kz/userfiles/item/122/fullimage1.png,
123,Interdent,Кисточки для нанесения керамики,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/accessories-for-working-with-ceramics/item-123,https://nordstom.kz/userfiles/item/123/fullimage1.jpg,Синтетика
124,Interdent,Артикуляционная бумага красная,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,https://nordstom.kz/userfiles/item/124/fullimage1.png,"Артикуляционная бумага, 80 микрон. Для определения окклюзионных и артикуляционных отклонений в естественном прикусе и протезах в зубоврачебном кабинете или в зуботехнической лаборатории."
125,Interdent,Восковая проволока на катушке,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-125,https://nordstom.kz/userfiles/item/125/fullimage1.png,"Эластичная и стабильная восковая проволока для литников, применяется при изготовлении коронок, мостов и бюгельных протезов. Изготавливается двух различных твердостей."
126,Interdent,Восковые профили,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-126,https://nordstom.kz/userfiles/item/126/fullimage1.png,"Разнообразие восковых стержней различной толщины и формы всегда гарантирует правильный выбор. Оптимальная смесь различных восков обеспечивает стабильную форму и облегчает работу в зуботехнической лаборатории. Предлагаются два качества: средне-твёрдая - синяя, твердая - зелёная."
127,Interdent,Спрей Interwaxit для обезжиривания и снятия напряж.восковой конструкции,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-127,https://nordstom.kz/userfiles/item/127/fullimage1.png,
128,Interdent,Окклюзионный спрей,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-128,https://nordstom.kz/userfiles/item/128/fullimage1.png,Для припасовки отлитых коронок на гипсовую модель в зуботехнической лаборатории. В зубоврачебном кабинете для припасовки готовых коронок и мостов.
503,Kettenbach,Visalys CemCore Universal,,orthopedics,REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/cements-for-fixation/for-permanent-fixation/item-503,https://nordstom.kz/userfiles/item/503/fullimage1.png,цемент двойного отверждения для постоянной фиксации любых непрямых реставраций.
504,Kettenbach,Visalys Core,,therapy,REFERENCE_REQUIRED,https://nordstom.kz/catalog/therapy/dvoinoi/item-504,https://nordstom.kz/userfiles/item/504/fullimage1.jpg,композит двойного отверждения для восстановления культи зуба и фиксации корневого штифта.
505,Kettenbach,Visalys Temp,,orthopedics,REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/temporary-orthopedic-structures/item-505,https://nordstom.kz/userfiles/item/505/fullimage1.jpg,материал для изготовления временных коронок и мостовидных протезов
545,Kettenbach,Futar D,,orthopedics,REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/a-silicone/item-545,https://nordstom.kz/userfiles/item/545/fullimage1.webp,быстротвердеющий А-силикон для регистрации прикуса.
546,Kettenbach,Futar D Slow,,orthopedics,REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/a-silicone/item-546,https://nordstom.kz/userfiles/item/546/fullimage1.webp,А-силикон для регистрации прикуса
