"productId","productName","missingBrand","missingManufacturer","knownBrand","knownManufacturer","manufacturerRefs","sourceUrl","priority","status","requiredEvidence"
"public-7c2b7b6ffc04e45b9b6e641e","Абатмент титановый временный для коронки 5,5 CF GH 3,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_koronki/abatment_titanovyy_vremennyy_dlya_koronki_5_5_cf_gh_3_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-bd87aad1f52268b542738aa0","Абатмент титановый временный для мостов 3,5 CF GH 0,5 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_3_5_cf_gh_0_5_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-f3704fb4d08da8e4230a4dd5","Абатмент титановый временный для мостов 3,5 CF GH 1,0 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_3_5_cf_gh_1_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-28cbb9901d93972cdeae4b6f","Абатмент титановый временный для мостов 3,5 CF GH 3,0 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_3_5_cf_gh_3_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-b1587bf040c6c66d0fdbfd33","Абатмент титановый временный для мостов 4,5 CF GH 0,5 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_4_5_cf_gh_0_5_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-96eaa76b80365ce245f557ad","Абатмент титановый временный для мостов 4,5 CF GH 0,5 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_4_5_cf_gh_0_5_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-01c2da91dd5bc1e22d5fbcd2","Абатмент титановый временный для мостов 4,5 CF GH 1,0 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_4_5_cf_gh_1_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-1dd03ececf7077fee4b70c60","Абатмент титановый временный для мостов 4,5 CF GH 1,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_4_5_cf_gh_1_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-d9ad36bb85c4ab0fe9bb3944","Абатмент титановый временный для мостов 4,5 CF GH 3,0 NP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_4_5_cf_gh_3_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-26191b787d7872838f6361c4","Абатмент титановый временный для мостов 4,5 CF GH 3,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_4_5_cf_gh_3_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-e71c0211be61eca6a86a0fd8","Абатмент титановый временный для мостов 5,5 CF GH 0,5 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_5_5_cf_gh_0_5_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-6da403c9eda8b3dbbb219ffa","Абатмент титановый временный для мостов 5,5 CF GH 1,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_5_5_cf_gh_1_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-abb64925d72d62f730213635","Абатмент титановый временный для мостов 5,5 CF GH 3,0 SP","true","true","","","","https://amdgroup.kz/catalog/dlya_mostov/abatment_titanovyy_vremennyy_dlya_mostov_5_5_cf_gh_3_0_sp/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-88cdf5098495b57c36753ee8","Абатмент титановый для Multi Unit полировалный 3 5","true","true","","","","https://amdgroup.kz/catalog/komponenty/abatment_titanovyy_dlya_multi_unit_polirovalnyy_3_5/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-fd8e78384d0c0ae1fda2c024","Абатмент титановый для Multi Unit полировалный 4 8","true","true","","","","https://amdgroup.kz/catalog/komponenty/abatment_titanovyy_dlya_multi_unit_polirovalnyy_4_8/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-b73d5cd1fbb5b21052066020","Абатмент Multi Unit 3,5 CF GH 1,0 NP","true","true","","","","https://amdgroup.kz/catalog/abatmenty_multi_unit_/abatment_multi_unit_3_5_cf_gh_1_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
"public-a0eed2add2963679e5e0d090","Абатмент Multi Unit 3,5 CF GH 2,0 NP","true","true","","","","https://amdgroup.kz/catalog/abatmenty_multi_unit_/abatment_multi_unit_3_5_cf_gh_2_0_np/","P0_COMMERCIAL","NEEDS_OFFICIAL_EVIDENCE","Официальная страница бренда, каталог производителя или подтверждённый прайс с артикулом"
