source,brand,name,productId,manufacturerRefs,variantCount,imageCount,marketEvidence,readiness,sourcePageUrl,sourceFile
NORD STOM KZ,Interdent,Паковочная масса Modelcast S,93,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-93,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Паковочная масса Modelcast,94,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-94,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Expasol - жидкость для паковочных масс,95,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-95,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Муфельные кольца,96,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-96,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Маркер Novy,97,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-97,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Сплав I-BOND 02 никель-хромовый для металлокерамики,100,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-100,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Сплав I-BOND NF кобальто-хромовый для металлокерамики,101,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-101,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Сплав I-MG кобальто-хромовый для бюгелей,102,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-102,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Керамические тигли,103,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-103,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Электролит MG жидкость для электрополировки,105,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-105,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Сеточка для укрепления пластмассы,106,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-106,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Проволока для кламмеров,107,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-107,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Interacryl Hot - пластмасса,108,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-108,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Interacryl Cast - пластмасса,109,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-109,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Силиконовая масса INTERLABOSIL,110,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/silikon/item-110,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Восковые пластины для индивидуальных ложек LC Intertray,111,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-111,nordstom-full-catalog.json
NORD STOM KZ,Interdent,"Диски сепарационные, шлифовальные",112,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/rotary-tools/item-112,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Порошок зуботехнический корундовый Interalox,113,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-113,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Перлы стеклянные,114,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-114,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Пемза,115,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-115,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Паста полировочная для сплавов,116,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-116,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Универсальная полировочная паста,117,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-117,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Паста полировочная Unilesk для пластмассы,118,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-118,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Фильцы для полирования,119,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Полировочные щетки для полировочного мотора,120,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Полировочные щётки,121,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-121,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Наждачная лента,122,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-122,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Кисточки для нанесения керамики,123,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/accessories-for-working-with-ceramics/item-123,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Артикуляционная бумага красная,124,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Восковая проволока на катушке,125,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-125,nordstom-full-catalog.json
