officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
NTI-KR-1003,NTI,NTI-Kahla GmbH,KR Table,KR-1003,KR-1003 | KR-2000 | KR-2001M | KR-2002C,KR-1003,4,,,https://www.nti.de/userdata/dcshop/images/normal/8575_kr-1003.png,3,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-table-p9780/
NTI-845KR-016C-FG,NTI,NTI-Kahla GmbH,"KR Taper, Modified Shoulder",845KR-016C-FG,845KR-016C-FG | 845KR-016F-FG | 845KR-016M-FG | 845KR-016SC-FG | 845KR-018C-FG | 845KR-018F-FG | 845KR-018M-FG | 845KR-025C-FG | 845KR-025F-FG | 845KR-025M-FG | 845KR-025SF-FG,845KR-016C-FG,11,,,https://www.nti.de/userdata/dcshop/images/normal/1482_845kr-016c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-taper-modified-shoulder-p9278/
NTI-846KR-016C-FG,NTI,NTI-Kahla GmbH,"KR Taper, Modified Shoulder",846KR-016C-FG,846KR-016C-FG | 846KR-016F-FG | 846KR-016M-FG | 846KR-016SC-FG | 846KR-018F-FG | 846KR-018M-FG,846KR-016C-FG,6,,,https://www.nti.de/userdata/dcshop/images/normal/5432_846kr-016c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-taper-modified-shoulder-p9282/
NTI-846KR-016TSC-FG,NTI,NTI-Kahla GmbH,"KR Taper, Modified Shoulder",846KR-016TSC-FG,846KR-016TSC-FG,846KR-016TSC-FG,1,,,https://www.nti.de/userdata/dcshop/images/normal/5261_846kr-016tsc-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-taper-modified-shoulder-p9284/
NTI-847KR-016C-FG,NTI,NTI-Kahla GmbH,"KR Taper, Modified Shoulder",847KR-016C-FG,847KR-016C-FG | 847KR-016F-FG | 847KR-016M-FG | 847KR-016SC-FG | 847KR-016SC-FGM | 847KR-018C-FG | 847KR-018F-FG | 847KR-018M-FG | 847KR-018SC-FG | 847KR-023C-FG | 847KR-023F-FG,847KR-016C-FG,11,,,https://www.nti.de/userdata/dcshop/images/normal/1532_847kr-016c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-taper-modified-shoulder-p9289/
NTI-847KR-016TSC-FG,NTI,NTI-Kahla GmbH,"KR Taper, Modified Shoulder",847KR-016TSC-FG,847KR-016TSC-FG,847KR-016TSC-FG,1,,,https://www.nti.de/userdata/dcshop/images/normal/5264_847kr-016tsc-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-taper-modified-shoulder-p9290/
NTI-850KR-014C-FG,NTI,NTI-Kahla GmbH,"KR Taper, Modified Shoulder",850KR-014C-FG,850KR-014C-FG | 850KR-014M-FG | 850KR-014SC-FG | 850KR-018C-FG | 850KR-018M-FG | 850KR-018M-FGM | 850KR-018SC-FG,850KR-014C-FG,7,,,https://www.nti.de/userdata/dcshop/images/normal/427_850kr-014c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-taper-modified-shoulder-p9303/
NTI-H336-016-FG,NTI,NTI-Kahla GmbH,"KR Taper, Modified Shoulder",H336-016-FG,H336-016-FG,H336-016-FG,1,,,https://www.nti.de/userdata/dcshop/images/normal/2892_h336-016-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-taper-modified-shoulder-p9694/
NTI-H847KRG-016-FG,NTI,NTI-Kahla GmbH,"KR Taper, Modified Shoulder",H847KRG-016-FG,H847KRG-016-FG,H847KRG-016-FG,1,,,https://www.nti.de/userdata/dcshop/images/normal/5122_h847krg-016-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/kr-taper-modified-shoulder-p9730/
NTI-4062,NTI,NTI-Kahla GmbH,Laboratory bur block,4062,4062,4062,1,,,https://www.nti.de/userdata/dcshop/images/normal/5388_4062.png,3,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/laboratory-bur-block-p9200/
